,1,,2,,3,,4,,5,,6,,7,,8,,9,,10
Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness
0.865827,0.930351,0.866416,0.888232,0.866359,0.887279,0.921063,0.958299,0.861019,0.885918,0.920327,0.954059,0.936211,0.958299,0.861119,0.885918,0.863637,0.923707,0.857794,0.880487
0.871673,0.930351,0.86409,0.888232,0.867013,0.887279,0.919382,0.958299,0.851997,0.885918,0.92128,0.954059,0.929047,0.958299,0.855716,0.885918,0.863197,0.923707,0.856338,0.880487
0.866032,0.930351,0.862808,0.888232,0.868224,0.887279,0.925803,0.958299,0.859897,0.885918,0.930693,0.958299,0.931275,0.958299,0.860139,0.885918,0.860161,0.923707,0.85912,0.880487
0.871725,0.930351,0.866072,0.888232,0.864987,0.887279,0.928826,0.958299,0.862651,0.885918,0.934833,0.958299,0.925742,0.958299,0.859286,0.885918,0.867486,0.923707,0.862615,0.880487
0.867344,0.930351,0.864282,0.888232,0.868718,0.887279,0.927423,0.958299,0.863088,0.885918,0.932943,0.958299,0.930052,0.958299,0.869031,0.885918,0.869742,0.923707,0.85743,0.880487
0.865322,0.930351,0.864103,0.888232,0.86713,0.887279,0.928331,0.958299,0.863188,0.885918,0.934991,0.958299,0.930023,0.958299,0.864829,0.885918,0.868828,0.923707,0.863062,0.880487
0.862954,0.930351,0.868125,0.888232,0.864105,0.887279,0.930521,0.958299,0.85016,0.885918,0.929726,0.958299,0.923581,0.958299,0.862184,0.885918,0.864703,0.923707,0.860735,0.888232
0.869263,0.930351,0.862593,0.888232,0.873327,0.887279,0.930669,0.958299,0.857357,0.885918,0.927229,0.958299,0.919464,0.958299,0.87097,0.885918,0.870926,0.923707,0.861263,0.888232
0.870492,0.930351,0.866579,0.888232,0.867895,0.887279,0.935283,0.958299,0.862529,0.885918,0.930993,0.958299,0.914913,0.958299,0.865664,0.885918,0.875495,0.923707,0.861488,0.888232
0.870051,0.930351,0.865875,0.888232,0.872243,0.887279,0.925831,0.958299,0.863917,0.885918,0.92632,0.958299,0.921725,0.958299,0.862437,0.885918,0.860387,0.923707,0.86134,0.888232
0.86516,0.930351,0.871867,0.888232,0.867332,0.887279,0.927047,0.958299,0.864864,0.885918,0.927499,0.958299,0.928535,0.958299,0.867012,0.885918,0.868482,0.923707,0.861706,0.888232
0.870867,0.930351,0.865642,0.888232,0.868972,0.887279,0.927826,0.958299,0.863135,0.885918,0.929762,0.958299,0.925318,0.958299,0.86506,0.885918,0.864975,0.923707,0.857763,0.888232
0.869242,0.930351,0.869614,0.888232,0.869045,0.887279,0.934174,0.958299,0.868335,0.885918,0.93184,0.958299,0.924364,0.958299,0.864512,0.885918,0.866678,0.923707,0.860587,0.888232
